"game_id","score_rank","away_runs","home_runs","simulations","probability"
"demo-01",1,4,5,912,0.0456
"demo-01",2,4,3,887,0.04435
"demo-01",3,5,4,857,0.04285
"demo-01",4,3,4,853,0.04265
"demo-01",5,3,5,681,0.03405
"demo-02",1,4,5,975,0.04875
"demo-02",2,3,4,864,0.0432
"demo-02",3,5,4,830,0.0415
"demo-02",4,3,5,796,0.0398
"demo-02",5,4,3,750,0.0375
"demo-03",1,4,5,924,0.0462
"demo-03",2,3,4,908,0.0454
"demo-03",3,5,4,829,0.04145
"demo-03",4,4,3,750,0.0375
"demo-03",5,3,5,694,0.0347
"demo-04",1,4,5,852,0.0426
"demo-04",2,5,4,781,0.03905
"demo-04",3,5,6,737,0.03685
"demo-04",4,3,4,730,0.0365
"demo-04",5,6,5,709,0.03545
"demo-05",1,4,5,890,0.0445
"demo-05",2,3,4,785,0.03925
"demo-05",3,3,5,703,0.03515
"demo-05",4,5,4,694,0.0347
"demo-05",5,5,6,686,0.0343
"demo-06",1,3,4,982,0.0491
"demo-06",2,4,5,895,0.04475
"demo-06",3,4,3,863,0.04315
"demo-06",4,5,4,836,0.0418
"demo-06",5,3,5,770,0.0385
